Depth Data ID,No GPS Data ID,Acquisition Time,Acquisition Start Time,Underwater Percentage,Dive Count,Average Dive Duration,Maximum Dive Duration,Maximum Dive Depth,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Approx Depth AQ Time Longitude,Approx Depth AQ Time Latitude
1,47,2020.07.10 02:00:00,2020.07.10 00:00:00,7.422%,12.0,44.0,,3.0,6.641%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.069640,37.931174
2,49,2020.07.10 04:00:00,2020.07.10 02:00:00,74.609%,55.0,98.0,,19.0,43.359%,14.453%,13.672%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,50.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.063298,37.921200
3,53,2020.07.10 06:00:00,2020.07.10 04:00:00,96.484%,60.0,109.0,,35.0,29.297%,55.078%,3.516%,2.734%,1.953%,0.391%,0.391%,0.391%,0.391%,0.391%,46.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,16.048073,37.919043
4,55,2020.07.10 08:00:00,2020.07.10 06:00:00,92.578%,6.0,1023.0,,9.0,2.734%,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.047622,37.918549
5,57,2020.07.10 10:00:00,2020.07.10 08:00:00,94.922%,13.0,499.0,,9.0,6.641%,87.109%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.047073,37.919150
6,61,2020.07.10 12:00:00,2020.07.10 10:00:00,94.922%,15.0,507.0,,7.0,57.422%,36.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.046116,37.917318
7,63,2020.07.10 14:00:00,2020.07.10 12:00:00,98.047%,85.0,77.0,,11.0,55.078%,36.328%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,74.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.026730,37.917011
8,67,2020.07.10 16:00:00,2020.07.10 14:00:00,95.703%,41.0,177.0,,11.0,58.984%,33.984%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.044266,37.919192
9,71,2020.07.10 18:00:00,2020.07.10 16:00:00,94.922%,13.0,538.0,,9.0,47.266%,46.484%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.045255,37.917871
10,73,2020.07.10 20:00:00,2020.07.10 18:00:00,94.141%,14.0,436.0,,11.0,6.641%,86.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.052362,37.920203
11,75,2020.07.10 22:00:00,2020.07.10 20:00:00,94.922%,51.0,125.0,,9.0,79.297%,12.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,43.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.058610,37.922677
12,81,2020.07.11 00:00:00,2020.07.10 22:00:00,94.922%,34.0,211.0,,9.0,31.641%,61.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.057019,37.920197
13,83,2020.07.11 02:00:00,2020.07.11 00:00:00,91.016%,19.0,374.0,,11.0,19.141%,71.484%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.054778,37.917705
14,87,2020.07.11 04:00:00,2020.07.11 02:00:00,94.922%,49.0,144.0,,13.0,38.672%,24.609%,27.734%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,45.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.054262,37.902009
15,89,2020.07.11 06:00:00,2020.07.11 04:00:00,98.047%,132.0,53.0,,7.0,88.672%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.051782,37.861689
16,91,2020.07.11 08:00:00,2020.07.11 06:00:00,98.047%,151.0,47.0,,5.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.049302,37.821369
17,93,2020.07.11 10:00:00,2020.07.11 08:00:00,97.266%,157.0,45.0,,1.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.046822,37.781049
18,95,2020.07.11 12:00:00,2020.07.11 10:00:00,97.266%,138.0,50.0,,1.0,88.672%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.045535,37.753199
19,99,2020.07.11 14:00:00,2020.07.11 12:00:00,97.266%,134.0,52.0,,7.0,87.891%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.057181,37.741625
20,101,2020.07.11 16:00:00,2020.07.11 14:00:00,98.047%,132.0,53.0,,1.0,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.068827,37.730051
21,103,2020.07.11 18:00:00,2020.07.11 16:00:00,97.266%,102.0,68.0,,3.0,90.234%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.083477,37.720966
22,107,2020.07.11 20:00:00,2020.07.11 18:00:00,44.141%,28.0,105.0,,7.0,41.016%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.090553,37.720403
23,111,2020.07.11 22:00:00,2020.07.11 20:00:00,26.172%,8.0,243.0,,7.0,23.828%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.092305,37.714512
24,114,2020.07.12 00:00:00,2020.07.11 22:00:00,88.672%,58.0,112.0,,5.0,84.766%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.094015,37.693780
25,117,2020.07.12 02:00:00,2020.07.12 00:00:00,62.891%,49.0,94.0,,1.0,59.766%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.080041,37.673724
26,119,2020.07.12 04:00:00,2020.07.12 02:00:00,98.047%,102.0,69.0,,1.0,91.016%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.065379,37.649651
27,121,2020.07.12 06:00:00,2020.07.12 04:00:00,71.484%,63.0,80.0,,5.0,67.578%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.046767,37.628676
